name,handedness,height,weight,avg,HR
Pepe Frias,Right Handed, 70, 159, 0.240, 1
Mike Schmidt,Right Handed, 74, 195, 0.267, 548
Willie Montanez,Left Handed, 72, 170, 0.275, 139
Rey Quinones,Right Handed, 71, 160, 0.243, 29
Mike Squires,Left Handed, 71, 185, 0.260, 6
Champ Summers,Left Handed, 74, 205, 0.255, 54
Chuck Porter,Right Handed, 75, 187, 0.0, 0
Bert Campaneris,Right Handed, 70, 160, 0.259, 79
Bobby Valentine,Right Handed, 70, 189, 0.260, 12
Rob Andrews,Right Handed, 72, 185, 0.251, 3
Tom Haller,Left Handed, 76, 195, 0.257, 134
Tom Dozier,Right Handed, 74, 190, 0.0, 0
Ed Stroud,Left Handed, 71, 180, 0.237, 14
Ron Swoboda,Right Handed, 74, 195, 0.242, 73
Harry Spilman,Left Handed, 73, 180, 0.237, 18
Bob Barton,Right Handed, 72, 175, 0.226, 9
Daryl Sconiers,Left Handed, 74, 185, 0.265, 15
Joe Torre,Right Handed, 74, 212, 0.297, 252
Al Ferrara,Right Handed, 73, 200, 0.259, 51
Rick Steirer,Right Handed, 76, 200, 0.0, 0
Sixto Lezcano,Right Handed, 70, 165, 0.271, 148
Al Lachowicz,Right Handed, 75, 198, 0.0, 0
Dave Nicholson,Right Handed, 74, 215, 0.212, 61
Freddie Patek,Right Handed, 65, 148, 0.242, 41
Ken Hubbs,Right Handed, 74, 175, 0.247, 14
Pepe Mangual,Right Handed, 70, 157, 0.242, 16
Leron Lee,Left Handed, 72, 196, 0.250, 31
Tom McCarthy,Right Handed, 72, 180, 0.0, 0
Steve Ontiveros,Both Handed, 72, 185, 0.274, 24
Willie Davis,Left Handed, 74, 180, 0.279, 182
Tom Lawless,Right Handed, 71, 170, 0.207, 2
Jerry Moses,Right Handed, 75, 210, 0.251, 25
Bobby Bonds,Right Handed, 73, 190, 0.268, 332
Dave McNally,Right Handed, 71, 185, 0.133, 9
Darrell Brown,Both Handed, 72, 184, 0.274, 1
Roy Foster,Right Handed, 72, 185, 0.253, 45
Denis Menke,Right Handed, 72, 185, 0.250, 101
Hal Breeden,Right Handed, 74, 200, 0.243, 21
Manny Trillo,Right Handed, 73, 150, 0.263, 61
Jackie Gutierrez,Right Handed, 71, 175, 0.237, 4
Jerry Kenney,Left Handed, 73, 170, 0.237, 7
Fred Kendall,Right Handed, 73, 185, 0.234, 31
Mike Anderson,Right Handed, 74, 200, 0.246, 28
Jim Lewis,Right Handed, 75, 190, 0.0, 0
Joe Charboneau,Right Handed, 74, 205, 0.266, 29
Jimmie Schaffer,Right Handed, 69, 170, 0.223, 11
Junior Kennedy,Right Handed, 71, 175, 0.248, 4
Wilbur Howard,Both Handed, 74, 170, 0.250, 6
Rod Gilbreath,Right Handed, 74, 180, 0.248, 14
Mark Brouhard,Right Handed, 73, 210, 0.259, 25
Dan Morogiello,Left Handed, 73, 200, 0.0, 0
Mike Young,Both Handed, 74, 195, 0.247, 72
Chris Speier,Right Handed, 73, 175, 0.246, 112
Gene Michael,Both Handed, 74, 183, 0.229, 15
Vic Harris,Both Handed, 71, 165, 0.217, 13
Mike Fischlin,Right Handed, 73, 165, 0.220, 3
Don Money,Right Handed, 73, 170, 0.261, 176
Joe Rudi,Right Handed, 74, 200, 0.264, 179
Jim Rice,Right Handed, 74, 200, 0.298, 382
Shawn Holman,Right Handed, 74, 185, 0.0, 0
Alan Wirth,Right Handed, 76, 190, 0.0, 0
Gil Garrido,Right Handed, 69, 150, 0.237, 1
Marty Perez,Right Handed, 71, 160, 0.246, 22
Tom Matchick,Left Handed, 73, 173, 0.215, 4
Jack Perconte,Left Handed, 70, 160, 0.270, 2
Ed Kirkpatrick,Left Handed, 71, 195, 0.238, 85
Jerry Grote,Right Handed, 70, 185, 0.252, 39
Ellie Hendricks,Left Handed, 73, 175, 0.220, 62
Jim Beauchamp,Right Handed, 74, 190, 0.231, 14
Terry Wilshusen,Right Handed, 74, 210, 0.0, 0
Tito Fuentes,Both Handed, 71, 175, 0.268, 45
Ron Brand,Right Handed, 67, 167, 0.239, 3
Leo Cardenas,Right Handed, 71, 150, 0.257, 118
Art Shamsky,Left Handed, 73, 168, 0.253, 68
Steve Ellsworth,Right Handed, 80, 220, 0.0, 0
Ron Cey,Right Handed, 70, 185, 0.261, 316
Skip Jutze,Right Handed, 71, 190, 0.215, 3
Butch Wynegar,Both Handed, 73, 190, 0.255, 65
Ron LeFlore,Right Handed, 72, 200, 0.288, 59
Bill Russell,Right Handed, 72, 175, 0.263, 46
Gene Tenace,Right Handed, 72, 190, 0.241, 201
Bubba Morton,Right Handed, 70, 175, 0.267, 14
Ellie Rodriguez,Right Handed, 71, 185, 0.245, 16
Darrel Chaney,Both Handed, 74, 188, 0.217, 14
Dick Nen,Left Handed, 74, 200, 0.224, 21
Bryan Kelly,Right Handed, 74, 195, 0.0, 0
Bill Freehan,Right Handed, 75, 203, 0.262, 200
Steve Nicosia,Right Handed, 70, 185, 0.248, 11
Ted Savage,Right Handed, 73, 185, 0.233, 34
Pete Mackanin,Right Handed, 74, 190, 0.226, 30
Rich Dauer,Right Handed, 72, 180, 0.257, 43
Mick Kelleher,Right Handed, 69, 176, 0.213, 0
Rowland Office,Left Handed, 72, 170, 0.259, 32
Rick Leach,Left Handed, 73, 180, 0.268, 18
Dwayne Murphy,Left Handed, 73, 185, 0.246, 166
Larry Harlow,Left Handed, 74, 185, 0.248, 12
Mike Epstein,Left Handed, 75, 230, 0.244, 130
Jerry Mumphrey,Both Handed, 74, 185, 0.289, 70
Don Sutton,Right Handed, 73, 185, 0.144, 0
Glenn Beckert,Right Handed, 73, 190, 0.283, 22
Ron Davis,Right Handed, 72, 175, 0.233, 10
Mike Shannon,Right Handed, 75, 195, 0.255, 68
Jason Thompson,Left Handed, 76, 200, 0.261, 208
Wayne Tolleson,Both Handed, 69, 160, 0.241, 9
John Leister,Right Handed, 74, 200, 0.0, 0
Don Cooper,Right Handed, 73, 185, 0.0, 0
Mike Jorgensen,Left Handed, 72, 195, 0.243, 95
Ed Romero,Right Handed, 71, 160, 0.247, 8
Rick Joseph,Right Handed, 73, 192, 0.243, 13
Cecil Cooper,Left Handed, 74, 165, 0.298, 241
Bill Almon,Right Handed, 75, 180, 0.254, 36
Joe Ferguson,Right Handed, 74, 200, 0.240, 122
Jeff Jones,Right Handed, 75, 210, 0.0, 0
Jerry Terrell,Right Handed, 71, 165, 0.253, 4
John Poloni,Left Handed, 77, 210, 0.0, 0
Dave Revering,Left Handed, 76, 210, 0.265, 62
Curt Ford,Left Handed, 70, 150, 0.245, 7
Jerry Dybzinski,Right Handed, 74, 180, 0.234, 3
Mike Willis,Left Handed, 74, 205, 0.0, 0
Bob Burda,Left Handed, 71, 174, 0.224, 13
Jesse Gonder,Left Handed, 70, 180, 0.251, 26
Gary Sutherland,Right Handed, 72, 185, 0.243, 24
Bob Coluccio,Right Handed, 71, 183, 0.220, 26
Dave Rader,Left Handed, 71, 165, 0.257, 30
Ron Gardenhire,Right Handed, 72, 175, 0.232, 4
Bill Sharp,Left Handed, 70, 178, 0.255, 9
Alan Bannister,Right Handed, 71, 170, 0.270, 19
Bob Watson,Right Handed, 72, 201, 0.295, 184
Ken Harrelson,Right Handed, 74, 190, 0.239, 131
Bobby Wine,Right Handed, 73, 187, 0.215, 30
Stefan Wever,Right Handed, 80, 245, 0.0, 0
John Kennedy,Right Handed, 72, 185, 0.225, 32
Chico Ruiz,Both Handed, 72, 169, 0.240, 2
Dave Johnson,Right Handed, 73, 183, 0.0, 0
Gail Hopkins,Left Handed, 70, 198, 0.266, 25
Doug Frobel,Left Handed, 76, 196, 0.201, 20
Luis Melendez,Right Handed, 72, 165, 0.248, 9
Jerry Augustine,Left Handed, 72, 183, 0.0, 0
Bill Plummer,Right Handed, 73, 190, 0.188, 14
Buck Rodgers,Both Handed, 74, 190, 0.232, 31
Phil Niekro,Right Handed, 73, 180, 0.169, 7
Jeff Holly,Left Handed, 77, 210, 0.0, 0
Tom Poquette,Left Handed, 70, 175, 0.268, 10
Eric Hetzel,Right Handed, 75, 175, 0.0, 0
Brian Asselstine,Left Handed, 73, 175, 0.254, 12
Rick Miller,Left Handed, 72, 175, 0.269, 28
Ed Charles,Right Handed, 70, 170, 0.263, 86
Luis Gomez,Right Handed, 69, 150, 0.210, 0
Dave Lemanczyk,Right Handed, 76, 235, 0.0, 0
Al Jones,Right Handed, 76, 210, 0.0, 0
Floyd Rayford,Right Handed, 70, 190, 0.244, 38
Sam Hinds,Right Handed, 78, 215, 0.0, 0
Tony Conigliaro,Right Handed, 75, 185, 0.264, 166
Clay Christiansen,Right Handed, 77, 205, 0.0, 0
Jim Barr,Right Handed, 75, 205, 0.162, 1
Jerry Remy,Left Handed, 69, 165, 0.275, 7
Larry Rothschild,Left Handed, 74, 180, 0.0, 0
Frank Duffy,Right Handed, 73, 180, 0.232, 26
Gary Lance,Both Handed, 75, 195, 0.0, 0
Tom O'Malley,Left Handed, 72, 180, 0.256, 13
Phil Garner,Right Handed, 70, 175, 0.260, 109
Larry Pashnick,Right Handed, 75, 205, 0.0, 0
Todd Fischer,Right Handed, 70, 170, 0.0, 0
